College_ID,First Name,Last Name,Email,Designation,Department,Office,password
F604,Karley,Hills,karleyhills@lnmiit.ac.in,Visiting Faculty,IT,101,xF2IPJMZHEQC
F101,Francis,Gorczany,francisgorczany@lnmiit.ac.in,Professor,Mathematics,1682,r8e7NQzrJIao
F648,Erling,Gutmann,erlinggutmann@lnmiit.ac.in,Professor,Mathematics,341,P2g6cabZ0tgC
F1445,Gideon,Sanford,gideonsanford@lnmiit.ac.in,Associate Professor,Mechanical Engineering(ME),644,61uCemv1XwzV
F544,Bette,Treutel-Larson,bettetreutel-larson@lnmiit.ac.in,Associate Professor,Mathematics,1392,QtIwv_8jbjD6
F472,Brittany,Tillman,brittanytillman@lnmiit.ac.in,Visiting Faculty,IT,347,L1Mt17gzFYjx
F906,Silas,Luettgen,silasluettgen@lnmiit.ac.in,Visiting Faculty,Communication and Computer(CCE),571,_Q1tpCLnBl5H
F696,Brooklyn,Moen,brooklynmoen@lnmiit.ac.in,Assistant Professor,Mathematics,1163,ThNDm5UMSknI
F617,Webster,Cremin,webstercremin@lnmiit.ac.in,Assistant Professor,Electronics and Communication(ECE),1122,TwaAGeGr8OTf
F992,Forrest,Sawayn,forrestsawayn@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),123,2sIcbSu83bkt
F789,Skye,Thompson-Weber,skyethompson-weber@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),1168,MjcUQ8EXlWsx
F1275,Ethel,Collier,ethelcollier@lnmiit.ac.in,Assistant Professor,Mathematics,1710,gsYgg2rJetkd
F944,Alec,Wintheiser,alecwintheiser@lnmiit.ac.in,Assistant Professor,Electronics and Communication(ECE),1552,fHSC08XOrZzs
F77,Margarete,Hills,margaretehills@lnmiit.ac.in,Visiting Faculty,IT,1966,o2JdF6zjKzhn
F883,Vincenzo,Heathcote,vincenzoheathcote@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),1097,uScSueBEe1N4
F547,Layne,Heidenreich,layneheidenreich@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),1409,TrO06mfR1YzG
F946,River,Kuhic,riverkuhic@lnmiit.ac.in,Assistant Professor,IT,877,NdvVle1FMaug
F1520,Kiley,Hand,kileyhand@lnmiit.ac.in,Assistant Professor,Humanities,1192,F09pGmo4HcqN
F1929,Ethyl,Kutch,ethylkutch@lnmiit.ac.in,Associate Professor,Humanities,1131,W3dZuiFZuots
F1224,Stewart,McCullough,stewartmccullough@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),254,pm903XWfVvaM
F587,Giles,Hammes,gileshammes@lnmiit.ac.in,Visiting Faculty,Mechanical Engineering(ME),228,f3iwBkFVWhX2
F600,Walker,Stanton,walkerstanton@lnmiit.ac.in,Assistant Professor,Computer Science(CSE),211,I1O_dcfpWVYc
F1625,Cara,Leuschke,caraleuschke@lnmiit.ac.in,Associate Professor,IT,1627,_H6BUoYhBxOa
F666,Madeline,Krajcik,madelinekrajcik@lnmiit.ac.in,Visiting Faculty,Communication and Computer(CCE),1867,CgTRhVRsgxeK
F551,Dolly,Walker,dollywalker@lnmiit.ac.in,Assistant Professor,Computer Science(CSE),735,XRpV884F0ozg
F71,Oliver,Auer,oliverauer@lnmiit.ac.in,Professor,Mechanical Engineering(ME),1871,eitWyiM5PCe7
F897,Denis,Parisian,denisparisian@lnmiit.ac.in,Associate Professor,Communication and Computer(CCE),1347,BWKZcZ8dxgpi
F875,Rashad,Cartwright,rashadcartwright@lnmiit.ac.in,Associate Professor,Computer Science(CSE),1111,ozZRTVxlbV5X
F1203,Felicita,Wisozk,felicitawisozk@lnmiit.ac.in,Associate Professor,Mechanical Engineering(ME),1232,4fed1nVhL6A2
F0,Alexandra,Kassulke,alexandrakassulke@lnmiit.ac.in,Professor,Electronics and Communication(ECE),1774,6yKYo1BLlvrb
F357,Mikayla,Gorczany,mikaylagorczany@lnmiit.ac.in,Visiting Faculty,IT,501,egOx2qaW0Rs6
F65,Cheyenne,Bogan,cheyennebogan@lnmiit.ac.in,Assistant Professor,Electronics and Communication(ECE),372,S8m8jPP9f4Tj
F534,Shaun,Steuber,shaunsteuber@lnmiit.ac.in,Visiting Faculty,Humanities,83,AeH8XrbnF2sa
F541,Jaclyn,Moore,jaclynmoore@lnmiit.ac.in,Assistant Professor,Computer Science(CSE),1916,P5J1DnWbf7gI
F1010,Jaquan,Kertzmann,jaquankertzmann@lnmiit.ac.in,Professor,Humanities,1305,Ng0dFfO4QR_X
F675,Madge,Lynch,madgelynch@lnmiit.ac.in,Assistant Professor,Mechanical Engineering(ME),1713,3BsF6vntV_zk
F1838,Maci,Franey,macifraney@lnmiit.ac.in,Visiting Faculty,Computer Science(CSE),775,upH_nl7pxaWE
F171,Theo,Satterfield,theosatterfield@lnmiit.ac.in,Associate Professor,Mathematics,1141,2ImK3dUwXS7y
F1433,Chadrick,Daniel,chadrickdaniel@lnmiit.ac.in,Visiting Faculty,Humanities,1566,_bKg7SvvPX7d
F34,Webster,Hoppe,websterhoppe@lnmiit.ac.in,Professor,Computer Science(CSE),1727,yV9HplQXNqif
F1948,Demario,Deckow,demariodeckow@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),642,jluOxLVbbFWO
F1697,Nikko,Mraz,nikkomraz@lnmiit.ac.in,Professor,Communication and Computer(CCE),1114,AtottkBUg_oE
F1320,Dante,Bergnaum-Flatley,dantebergnaum-flatley@lnmiit.ac.in,Assistant Professor,Humanities,1085,mVBypbyiRUpR
F1864,Chandler,Sanford,chandlersanford@lnmiit.ac.in,Professor,Humanities,1096,ahGKIrgKv9Zd
F364,Dandre,Stracke,dandrestracke@lnmiit.ac.in,Assistant Professor,IT,1239,nGlkGRNzT9uI
F255,Audie,VonRueden,audievonrueden@lnmiit.ac.in,Professor,Mechanical Engineering(ME),729,t2wJfUquIyRF
F997,Leland,West,lelandwest@lnmiit.ac.in,Visiting Faculty,Mechanical Engineering(ME),600,fAlBdh5baJlp
F1236,Jonatan,Herzog,jonatanherzog@lnmiit.ac.in,Assistant Professor,Computer Science(CSE),39,YZbOkynzXehR
F607,Harmony,Lueilwitz-Wilkinson,harmonylueilwitz-wilkinson@lnmiit.ac.in,Professor,Humanities,900,V3WBwwJSdRV_
F1117,Jess,Greenfelder,jessgreenfelder@lnmiit.ac.in,Visiting Faculty,Computer Science(CSE),372,M5bVDNhbqfDw
F1510,Murphy,Treutel,murphytreutel@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),148,6FBj1s8c__SG
F1243,Oswaldo,Considine,oswaldoconsidine@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),1784,hrhG07TRoesL
F1017,Winona,Prosacco,winonaprosacco@lnmiit.ac.in,Visiting Faculty,Mechanical Engineering(ME),458,Qn7QKOG6nQkU
F1485,Bria,White,briawhite@lnmiit.ac.in,Assistant Professor,Mathematics,112,sJEEqUTzwr1O
F1571,Willa,Zulauf,willazulauf@lnmiit.ac.in,Associate Professor,Communication and Computer(CCE),1536,O9OttC9TStAw
F927,Lamont,Greenfelder,lamontgreenfelder@lnmiit.ac.in,Professor,Mathematics,528,bC5n8iW5HZ28
F369,Mabelle,Jenkins,mabellejenkins@lnmiit.ac.in,Professor,IT,697,yqb_hGoueFXQ
F1505,Misty,Tillman,mistytillman@lnmiit.ac.in,Professor,Humanities,1885,rUS2DOyGa6Yt
F558,Hillary,Ritchie,hillaryritchie@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),200,jhWqL7hPXoDD
F1866,Annetta,Pouros,annettapouros@lnmiit.ac.in,Professor,Mathematics,1967,HaUE3AhR7ty1
F377,Linda,Becker,lindabecker@lnmiit.ac.in,Visiting Faculty,Computer Science(CSE),1440,cObQbjGhRLs_
F897,Ali,Windler,aliwindler@lnmiit.ac.in,Visiting Faculty,Computer Science(CSE),78,n9BOaiiY0GMt
