College_ID,First Name,Last Name,Email,Designation,Department,Office,hashedpassword
F604,Karley,Hills,karleyhills@lnmiit.ac.in,Visiting Faculty,IT,101,$2b$10$nai5iHXiCgrTPiAnRXe9oe8Mtg5Lj1/woB9TQyPuxu1ya2AEis8tC
F101,Francis,Gorczany,francisgorczany@lnmiit.ac.in,Professor,Mathematics,1682,$2b$10$S4RlrXPu6N9.E6PE1aR22OWcncXLPgatYxzIwAx5bHJrQyWqYtpUK
F648,Erling,Gutmann,erlinggutmann@lnmiit.ac.in,Professor,Mathematics,341,$2b$10$qaK31lYPKNiU74TA8qIo6.P1R2q0EBvXuwS9ClUr2/CEFkb1h7Mb.
F1445,Gideon,Sanford,gideonsanford@lnmiit.ac.in,Associate Professor,Mechanical Engineering(ME),644,$2b$10$r0jAZjmp0j9a/wK7kAe9Wuy.wByplyR5XS3ueubUSxSHHmKIVvHY6
F544,Bette,Treutel-Larson,bettetreutel-larson@lnmiit.ac.in,Associate Professor,Mathematics,1392,$2b$10$Qay46AST/zvV94wICSGuL.3xXFoqFiPVLCMrLQXQbBnZBARMLTb6a
F472,Brittany,Tillman,brittanytillman@lnmiit.ac.in,Visiting Faculty,IT,347,$2b$10$SeIhy//ssSZ3NnBgpzY9z.CH2hvtUqEmliENVmBr21Dn.BPusfNAi
F906,Silas,Luettgen,silasluettgen@lnmiit.ac.in,Visiting Faculty,Communication and Computer(CCE),571,$2b$10$7qrB58aLzG/RYJK5FiZJgO4gP8JZNfMcJbGPYEPmu83yUMbAmQW2G
F696,Brooklyn,Moen,brooklynmoen@lnmiit.ac.in,Assistant Professor,Mathematics,1163,$2b$10$KV0kf0Vln3wDcDWV91yA.eoLN1IjwCg2H.GSeg0QBn6VLKOSMMCAe
F617,Webster,Cremin,webstercremin@lnmiit.ac.in,Assistant Professor,Electronics and Communication(ECE),1122,$2b$10$aTj1oR3t/Nmi9xw3qtvHge/fIkjJnPBi.NXyf03BuSlfNiSup8twa
F992,Forrest,Sawayn,forrestsawayn@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),123,$2b$10$qG7CxO2LuvGTDRniF7NS5eGzuGOFTKTBFw7dZPK/htndW3PD8rfCC
F789,Skye,Thompson-Weber,skyethompson-weber@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),1168,$2b$10$ut1gY3pHjI51Qxm3Tov.x.O2MmAfnNcKowJC9KUsgH3di07YhSC8W
F1275,Ethel,Collier,ethelcollier@lnmiit.ac.in,Assistant Professor,Mathematics,1710,$2b$10$qqPeB4rFrz7Aj7Yamdgou.2xq8ofQgD.5YnlRdUn5RXkGc1D.dzFq
